Mineral Name (plain),IMA Chemistry,Crystal Systems,Paragenetic Modes
Bussyite-(Y),"(Y,REE,Ca)3(Na,Ca)6MnSi9Be5(O,F,OH)34",monoclinic,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Bustamite,Mn2Ca2MnCa(Si3O9)2,triclinic,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, PM31 - Contact metamorphism, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals"
Butianite,Ni6SnS2,tetragonal,"Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases"
Butlerite,Fe3+(SO4)(OH)·2H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Butschliite,K2Ca(CO3)2,hexagonal,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM29 - Lightning-generated minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins"
Buttgenbachite,Cu36(NO3)2Cl8(OH)62·nH2O,hexagonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals"
Buynite,TlPb14As17S40,monoclinic,
Byelorussite-(Ce),"NaBa2Ce2Mn2+Ti2Si8O26(F,OH)·H2O",orthorhombic,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration"
Bykovaite,"(Ba,Na,K)2(Na,Ti,Mn)4(Ti,Nb)2O2Si4O14(H2O,F,OH)2·3.5H2O",monoclinic,"Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Byrudite,"(Be,☐)(V3+,Ti)3O6",orthorhombic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Bystrite,Na7Ca(Al6Si6)O24(S5)2-Cl1-,hexagonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Bystromite,MgSb5+2O6,tetragonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Bytizite,Cu3SbSe3,orthorhombic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Byzantievite,"Ba5(Ca,REE,Y)22(Ti,Nb)18(SiO4)4[(PO4),(SiO4)]4(BO3)9O22[(OH),F]43(H2O)1.5",hexagonal,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Cabalzarite,CaMg2(AsO4)2·2H2O,monoclinic,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Cabrerite,NiMg2(AsO4)2·8H2O,monoclinic,
Cabriite,Pd2CuSn,orthorhombic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations"
Cabvinite,Th2F7(OH)·3H2O,tetragonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Cacoxenite,Fe3+24AlO6(PO4)17(OH)12·75H2O,hexagonal,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Cadmium,Cd,hexagonal,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations"
Cadmoindite,CdIn2S4,cubic,"Abiotic, Biotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM11 - Volcanic fumarole minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
Cadmoselite,CdSe,hexagonal,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM33 - Hydrothermal metal deposits"
Cadsulfohite,Cd2(SO4)(OH)2,monoclinic,
Cadvanite,Cd(VO3)2,monoclinic,
Cadwaladerite,"Al2(H2O)(OH)4·n(Cl,OH-,H2O)",cubic,"Abiotic, Biotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Caesiumpharmacosiderite,CsFe4[(AsO4)3(OH)4]·4H2O,cubic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Cafarsite,"(Ca,Na,☐)19Ti8Fe3+4Fe2+4(AsO3)28F",cubic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Cafeosite,Ca4Fe2+3Fe3+2 ☐O6S4,orthorhombic,
Cafetite,CaTi2O5·H2O,"monoclinic, orthorhombic","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
Cahnite,Ca2B(AsO4)(OH)4,tetragonal,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 7: Great Oxidation Event, PM46 - Near-surface hydrothermal alterations"
Cairncrossite,Sr2Ca7-xNa2x(Si4O10)4(OH)2(H2O)15-x,triclinic,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
Calamaite,Na2TiO(SO4)2·2H2O,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Calaverite,AuTe2,monoclinic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Calciborite,CaB2O4,orthorhombic,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
Calcinaksite,KNaCa(Si4O10)·H2O,triclinic,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
Calcioancylite-(Ce),"(Ce,Ca,Sr)(CO3)(OH,H2O)","monoclinic, orthorhombic","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Calcioancylite-(La),(LaCa)(CO3)2(OH)(H2O),orthorhombic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Calcioancylite-(Nd),Nd2.8Ca1.2(CO3)4(OH)3·H2O,monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Calcioandyrobertsite,KCaCu5(AsO4)4[As(OH)2O2]·2H2O,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Calcioaravaipaite,PbCa2AlF9,"triclinic, monoclinic","Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering"
Calcioburbankite,"Na3(Ca,Ce,Sr,La)3(CO3)5","monoclinic, orthorhombic, hexagonal","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Calciocatapleiite,CaZrSi3O9·2H2O,orthorhombic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Calciocopiapite,CaFe3+4(SO4)6(OH)2·20H2O,triclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
Calciodelrioite,Ca(VO3)2·4H2O,monoclinic,"Biotic; Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Calcioferrite,Ca4MgFe3+4(PO4)6(OH)4·12H2O,monoclinic,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Calciohatertite,NaNaCa(CaFe3+)(AsO4)3,monoclinic,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Calciohilairite,CaZrSi3O9·3H2O,hexagonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Calciojohillerite,NaCaMgMg2(AsO4)3,monoclinic,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Calciolangbeinite,K2Ca2(SO4)3,cubic,"Abiotic, Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM46 - Near-surface hydrothermal alterations, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
Calciomurmanite,(Ca☐)Ti2(Na☐)Ti2(Si2O7)2O2(OH)2(H2O)4,triclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Calcio-olivine,Ca2(SiO4),orthorhombic,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
Calciopetersite,CaCu6(PO4)2(PO3OH)(OH)6·3H2O,hexagonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Calciopharmacoalumite,Ca0.5Al4(AsO4)3(OH)4·5H2O,cubic,
Calciosamarskite,"(Ca,Fe,Y)(Nb,Ta,Ti)O4",monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Calciotantite,CaTa4O11,hexagonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Calciouranoite,"(Ca,Ba,Pb,K,Na)U2O7·5H2O",,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Calcioursilite,Ca4(UO2)4(Si2O5)5(OH)6·15H2O,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Calcioveatchite,SrCaB11O16(OH)5·H2O,monoclinic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
Calcite,Ca(CO3),hexagonal,"Abiotic, Biotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, PM9 - Lava/xenolith minerals, PM10 - Basalt-hosted zeolite minerals, Stage 3b: Earth's earliest hydrosphere, PM14 - Hot springs & geysers, PM17 - Marine authigenic Hadean minerals, Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, PM23 - Subaerial alteration, PM25 - Evaporites (prebiotic), PM28 - Photo-alteration, pre-biotic, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 6: Anoxic biosphere, PM44 - Anoxic microbially-mediated minerals, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization"
Calcjarlite,"Na2(Ca,☐)14(Mg,☐)2Al12F64(OH)4",,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration"
Calclacite,Ca(CH3COO)Cl·5H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM57 - Other minerals formed by human processes"
Calcurmolite,(Ca1-xNax)2(UO2)3(MoO4)2(OH)6-x·nH2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Calcybeborosilite-(Y),"(Y,REE,Ca)2(B,Be)2(SiO4)2(OH,O)2",monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Calderite,Mn2+3Fe3+2(SiO4)3,cubic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Calderonite,Pb2Fe3+(VO4)2(OH),monoclinic,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Caledonite,Cu2Pb5(SO4)3(CO3)(OH)6,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering"
Calkinsite-(Ce),Ce2(CO3)3·4H2O,orthorhombic,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Callaghanite,Cu2Mg2(CO3)(OH)6·2H2O,monoclinic,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals"
Calomel,HgCl,tetragonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Calumetite,CaCu4(OH)8Cl2·3.5H2O,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Calvertite,Cu5Ge0.5S4,cubic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Calzirtite,Ca2Zr5Ti2O16,"orthorhombic, tetragonal","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
Camanchacaite,Na☐CaMg2(AsO4)2[AsO2(OH)2],monoclinic,"Abiotic, Secondary; Stage 7: Great Oxidation Event, PM46 - Near-surface hydrothermal alterations"
Camaraite,NaBa3Fe2+8Ti4(Si2O7)4O4(OH)4F3,triclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Camaronesite,Fe3+2(PO3OH)2(SO4)(H2O)4·1-2H2O,hexagonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Camerolaite,Cu6Al3(OH)18(H2O)2[Sb(OH)6](SO4),"triclinic, monoclinic","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Cameronite,"Cu5-x(Cu,Ag)3+xTe10 (x = 0.43)","monoclinic, tetragonal","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Camgasite,CaMg(AsO4)(OH)·5H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Caminite,Mg7(SO4)5(OH)4·H2O,tetragonal,"Abiotic, Biotic, Primary; Stage 3b: Earth's earliest hydrosphere, PM15 - Black smokers, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
Campigliaite,Cu4Mn2+(SO4)2(OH)6·4H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Campostriniite,(Bi2.5Na0.5)(NH4)2Na2(SO4)6·H2O,monoclinic,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Canaphite,Na2CaP2O7·4H2O,monoclinic,"Abiotic, Biotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 10b: Anthropogenic minerals, PM57 - Other minerals formed by human processes"
Canasite,K3Na3Ca5Si12O30(OH)4,monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Canavesite,Mg2(HBO3)(CO3)·5H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Cancrinite,"(Na,Ca,☐)8(Al6Si6)O24(CO3,SO4)2·2H2O",hexagonal,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Cancrisilite,Na7(Si7Al5)O24(CO3)·3H2O,hexagonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Canfieldite,Ag8SnS6,"cubic, orthorhombic","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Cannizzarite,Pb8Bi10S23,monoclinic,"Abiotic, Biotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM11 - Volcanic fumarole minerals, Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Cannonite,Bi2O(SO4)(OH)2,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Canosioite,Ba2Fe3+(AsO4)2(OH),monoclinic,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Canutite,Na☐MnMn2(AsO4)[AsO3(OH)]2,monoclinic,"Abiotic, Secondary; Stage 7: Great Oxidation Event, PM46 - Near-surface hydrothermal alterations"
Caoxite,Ca(C2O4)·3H2O,triclinic,"Biotic, Secondary; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins"
Capgaronnite,AgHgClS,orthorhombic,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Cappelenite-(Y),BaY6B6Si3O24F2,hexagonal,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Capranicaite,KCaNaAl4B4Si2O18,monoclinic,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, PM10 - Basalt-hosted zeolite minerals"
Caracolite,Na2(Pb2Na)(SO4)3Cl,"monoclinic, hexagonal","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Carboborite,Ca2Mg[B(OH)4]2(CO3)2·4H2O,monoclinic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
Carbobystrite,Na8(Al6Si6O24)(CO3)·4H2O,hexagonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Carbocalumite,Ca4Al2(OH)12(CO3)·6H2O,hexagonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Carbocernaite,"(Sr,Ce,La)(Ca,Na)(CO3)2",orthorhombic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
Carboferriphoxite,[(NH4)K(H2CO3)][Fe3+(HPO4)(H2PO4)(C2O4)],triclinic,
Carboirite,Fe2+Al2GeO5(OH)2,triclinic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Carbokentbrooksite,"(Na,☐)12(Na,Ce)3Ca6Mn3Zr3NbSi25O73(OH)3(CO3)·H2O",hexagonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Carbonatecyanotrichite,Cu4Al2(CO3)(OH)12·2H2O,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Cardite,Zn5.5(AsO4)2(AsO3OH)(OH)3·3H2O,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Carducciite,"(AgSb)Pb6(As,Sb)8S20",monoclinic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Caresite,Fe2+4Al2(OH)12(CO3)·3H2O,hexagonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Carletonite,"KNa4Ca4Si8O18(CO3)4(F,OH)·H2O",tetragonal,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Carletonmooreite,Ni3Si,cubic,"Abiotic, Primary; Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases"
Carlfrancisite,"Mn2+3(Mn2+,Mg,Fe3+,Al)42(As3+O3)2(As5+O4)4[(Si,As5+)O4]6[(As5+,Si)O4]2(OH)42",hexagonal,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
Carlfriesite,CaTe4+2Te6+O8,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Carlgieseckeite-(Nd),NaNdCa3(PO4)3F,hexagonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites"
Carlhintzeite,Ca2AlF7·H2O,triclinic,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Carlinite,Tl2S,hexagonal,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM33 - Hydrothermal metal deposits"
Carlosbarbosaite,(UO2)2Nb2O6(OH)2·2H2O,orthorhombic,"Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Carlosruizite,K3Na2Na3Mg5(IO3)6(SeO4)6·6H2O,hexagonal,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
Carlosturanite,"(Mg,Fe2+,Ti)21(Si,Al)12O28(OH)34·H2O",monoclinic,"Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
Carlsbergite,CrN,cubic,"Abiotic, Primary; Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases"
Carlsonite,(NH4)5Fe3+3O(SO4)6·7H2O,triclinic,"Biotic; Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
Carmeltazite,ZrAl2Ti4O11,orthorhombic,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, PM9 - Lava/xenolith minerals"
Carmichaelite,"(Ti,Cr,Fe)(O,OH)2",monoclinic,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 5: Initiation of plate tectonics, PM41 - Mantle metasomatism"
Carminite,PbFe3+2(AsO4)2(OH)2,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Carnallite,KMgCl3·6H2O,orthorhombic,"Abiotic, Biotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Carnotite,K2(UO2)2(VO4)2·3H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins"
Carobbiite,KF,cubic,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
Carpathite,C24H12,monoclinic,"Abiotic, Biotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM14 - Hot springs & geysers, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins"
Carpholite,Mn2+Al2Si2O6(OH)4,orthorhombic,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism"
Carraraite,Ca3Ge(SO4)(CO3)(OH)6·12H2O,hexagonal,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 7: Great Oxidation Event, PM46 - Near-surface hydrothermal alterations"
