name,formula,elements,density,color,crystal,pm_ids,gacha_weight
Bolivarite,Al2(PO4)(OH)3·4H2O,"{""Al"": 2.0, ""P"": 1.0, ""O"": 11.0, ""H"": 11.0}",272.015,#FFFFFF,unknown,{47},1998.0
Bonaccordite,Ni2Fe3+O2(BO3),"{""Ni"": 2.0, ""Fe"": 1.0, ""O"": 5.0, ""B"": 1.0}",264.036,#556B2F,orthorhombic,"{23,47}",2396.0
Bonaccorsiite,KK2Na3(Al6Si36)O84,"{""K"": 3.0, ""Na"": 3.0, ""Al"": 6.0, ""Si"": 36.0, ""O"": 84.0}",2703.132,#FFFFFF,hexagonal,{},1.0
Bonacinaite,Sc(AsO4)·2H2O,"{""Sc"": 1.0, ""As"": 1.0, ""O"": 6.0, ""H"": 4.0}",219.904,#FFFFFF,triclinic,{47},1998.0
Bonattite,Cu(SO4)·3H2O,"{""Cu"": 1.0, ""S"": 1.0, ""O"": 7.0, ""H"": 6.0}",213.647,#FFFFFF,monoclinic,"{45,47}",2422.0
Bonazziite,As4S4,"{""As"": 4.0, ""S"": 4.0}",427.928,#FFD700,monoclinic,"{33,50,54}",1304.0
Bonshtedtite,Na3Fe2+(PO4)(CO3),"{""Na"": 3.0, ""Fe"": 1.0, ""P"": 1.0, ""O"": 7.0, ""C"": 1.0}",279.793,#556B2F,monoclinic,"{35,36,50}",1290.0
Boojumite,Pb8O4(OH)2(S2O3)3,"{""Pb"": 8.0, ""O"": 15.0, ""H"": 2.0, ""S"": 6.0}",2091.961,#FFFFFF,orthorhombic,{47},1998.0
Boothite,Cu(SO4)·7H2O,"{""Cu"": 1.0, ""S"": 1.0, ""O"": 11.0, ""H"": 14.0}",285.707,#FFFFFF,monoclinic,"{45,47,55}",2686.0
Boracite,Mg3B7O13Cl,"{""Mg"": 3.0, ""B"": 7.0, ""O"": 13.0, ""Cl"": 1.0}",392.022,#FFFFFF,cubic,{25},210.0
Boralsilite,Al16B6O30(Si2O7),"{""Al"": 16.0, ""B"": 6.0, ""O"": 37.0, ""Si"": 2.0}",1144.705,#FFFFFF,monoclinic,{19},143.0
Borax,Na2B4O5(OH)4·8H2O,"{""Na"": 2.0, ""B"": 4.0, ""O"": 17.0, ""H"": 20.0}",381.363,#FFFFFF,monoclinic,{25},210.0
Borcarite,Ca4MgB4O6(CO3)2(OH)6,"{""Ca"": 4.0, ""Mg"": 1.0, ""B"": 4.0, ""O"": 18.0, ""C"": 2.0, ""H"": 6.0}",545.909,#FFFFFF,monoclinic,"{31,47}",2354.0
Bornhardtite,Co2+Co3+2Se4,"{""Co"": 3.0, ""Se"": 4.0}",492.683,#4169E1,cubic,{33},797.0
Bornite,Cu5FeS4,"{""Cu"": 5.0, ""Fe"": 1.0, ""S"": 4.0}",501.815,#DAA520,hexagonal,"{6,8,12,15,31,37,50,53,54}",1574.0
Borocookeite,LiAl4(Si3B)O10(OH)8,"{""Li"": 1.0, ""Al"": 4.0, ""Si"": 3.0, ""B"": 1.0, ""O"": 18.0, ""H"": 8.0}",505.979,#FFFFFF,monoclinic,{34},564.0
Boromullite,Al9BSi2O19,"{""Al"": 9.0, ""B"": 1.0, ""Si"": 2.0, ""O"": 19.0}",613.799,#FFFFFF,orthorhombic,{40},319.0
Boromuscovite,KAl2(Si3B)O10(OH)2,"{""K"": 1.0, ""Al"": 2.0, ""Si"": 3.0, ""B"": 1.0, ""O"": 12.0, ""H"": 2.0}",382.131,#FFFFFF,monoclinic,"{23,34}",962.0
Borovskite,Pd3SbTe4,"{""Pd"": 3.0, ""Sb"": 1.0, ""Te"": 4.0}",951.42,#A9A9A9,cubic,{33},797.0
Borzeckiite,Pb(UO2)3(SeO3)2O2·3H2O,"{""Pb"": 1.0, ""U"": 3.0, ""O"": 17.0, ""Se"": 2.0, ""H"": 6.0}",1357.263,#FFFFFF,orthorhombic,{},1.0
Boscardinite,TlPb4(Sb7As2)Σ=9S18,"{""Tl"": 1.0, ""Pb"": 4.0, ""Sb"": 63.0, ""As"": 18.0, ""S"": 18.0}",10629.736,#708090,triclinic,{33},797.0
Bosiite,NaFe3+3(Al4Mg2)(Si6O18)(BO3)3(OH)3O,"{""Na"": 1.0, ""Fe"": 3.0, ""Al"": 4.0, ""Mg"": 2.0, ""Si"": 6.0, ""O"": 31.0, ""B"": 3.0, ""H"": 3.0}",1046.996,#556B2F,hexagonal,"{23,34,40}",1281.0
Botallackite,Cu2Cl(OH)3,"{""Cu"": 2.0, ""Cl"": 1.0, ""O"": 3.0, ""H"": 3.0}",213.563,#FFFFFF,monoclinic,"{15,47,56}",2173.0
Botryogen,MgFe3+(SO4)2(OH)·7H2O,"{""Mg"": 1.0, ""Fe"": 1.0, ""S"": 2.0, ""O"": 16.0, ""H"": 15.0}",415.374,#556B2F,monoclinic,{47},1998.0
Bottinoite,NiSb5+2(OH)12·6H2O,"{""Ni"": 1.0, ""Sb"": 2.0, ""O"": 18.0, ""H"": 24.0}",614.387,#FFFFFF,hexagonal,"{47,57}",2047.0
Botuobinskite,SrFe2+(Ti4+12Cr3+6)Mg2[O36(OH)2],"{""Sr"": 1.0, ""Fe"": 1.0, ""Ti"": 12.0, ""Cr"": 6.0, ""Mg"": 2.0, ""O"": 38.0, ""H"": 2.0}",1688.433,#556B2F,hexagonal,{7},123.0
Boulangerite,Pb5Sb4S11,"{""Pb"": 5.0, ""Sb"": 4.0, ""S"": 11.0}",1875.7,#708090,monoclinic,{33},797.0
Bounahasite,Cu1+Cu2+2(OH)3Cl2,"{""Cu"": 3.0, ""O"": 3.0, ""H"": 3.0, ""Cl"": 2.0}",312.559,#FFFFFF,monoclinic,{47},1998.0
Bournonite,CuPbSbS3,"{""Cu"": 1.0, ""Pb"": 1.0, ""Sb"": 1.0, ""S"": 3.0}",488.686,#708090,orthorhombic,{33},797.0
Bouskaite,(MoO2)2O(SO3OH)2(H2O)2·2H2O,"{""Mo"": 2.0, ""O"": 17.0, ""S"": 2.0, ""H"": 10.0}",538.083,#FFFFFF,triclinic,{47},1998.0
Boussingaultite,(NH4)2Mg(SO4)2·6H2O,"{""N"": 2.0, ""H"": 20.0, ""Mg"": 1.0, ""S"": 2.0, ""O"": 14.0}",360.585,#FFFFFF,monoclinic,"{14,25,45,47,49,50,54}",3277.0
Bowieite,Rh2S3,"{""Rh"": 2.0, ""S"": 3.0}",302.0,#A9A9A9,orthorhombic,"{7,12,26,33,37,38}",1542.0
Bracewellite,CrO(OH),"{""Cr"": 1.0, ""O"": 2.0, ""H"": 1.0}",85.002,#228B22,orthorhombic,{47},1998.0
Bradaczekite,NaCuCuCu2(AsO4)3,"{""Na"": 1.0, ""Cu"": 4.0, ""As"": 3.0, ""O"": 12.0}",693.928,#FFFFFF,monoclinic,{45},424.0
Bradleyite,Na3Mg(PO4)(CO3),"{""Na"": 3.0, ""Mg"": 1.0, ""P"": 1.0, ""O"": 7.0, ""C"": 1.0}",248.253,#FFFFFF,monoclinic,"{35,36,50}",1290.0
Braggite,PdPt3S4,"{""Pd"": 1.0, ""Pt"": 3.0, ""S"": 4.0}",819.9,#A9A9A9,tetragonal,"{12,26,33,37}",1311.0
Braithwaiteite,NaCu2+5(Sb5+Ti4+)O2(AsO4)4[AsO3(OH)]2·8H2O,"{""Na"": 1.0, ""Cu"": 5.0, ""Sb"": 1.0, ""Ti"": 1.0, ""O"": 34.0, ""As"": 6.0, ""H"": 18.0}",1521.989,#FFFFFF,triclinic,{47},1998.0
Branchite,C20H34,"{""C"": 20.0, ""H"": 34.0}",274.492,#FFFFFF,triclinic,"{50,53}",390.0
Brandaoite,BeAl2(PO4)2(OH)2(H2O)4·H2O,"{""Be"": 1.0, ""Al"": 2.0, ""P"": 2.0, ""O"": 15.0, ""H"": 12.0}",377.0052,#FFFFFF,triclinic,"{34,47}",2562.0
Brandholzite,MgSb2(OH)12·6H2O,"{""Mg"": 1.0, ""Sb"": 2.0, ""O"": 18.0, ""H"": 24.0}",579.999,#FFFFFF,hexagonal,{47},1998.0
Brannerite,UTi2O6,"{""U"": 1.0, ""Ti"": 2.0, ""O"": 6.0}",429.758,#ADFF2F,monoclinic,"{26,34,35}",1540.0
Brassite,Mg(AsO3OH)·4H2O,"{""Mg"": 1.0, ""As"": 1.0, ""O"": 8.0, ""H"": 9.0}",236.291,#FFFFFF,orthorhombic,"{47,55,56}",2405.0
Braunerite,K2Ca(UO2)(CO3)3·6H2O,"{""K"": 2.0, ""Ca"": 1.0, ""U"": 1.0, ""O"": 17.0, ""C"": 3.0, ""H"": 12.0}",676.416,#FFFFFF,monoclinic,{47},1998.0
Brazilianite,NaAl3(PO4)2(OH)4,"{""Na"": 1.0, ""Al"": 3.0, ""P"": 2.0, ""O"": 12.0, ""H"": 4.0}",361.904,#FFFFFF,monoclinic,"{23,31,34}",1318.0
Bredigite,Ca7Mg(SiO4)4,"{""Ca"": 7.0, ""Mg"": 1.0, ""Si"": 4.0, ""O"": 16.0}",673.175,#FFFFFF,orthorhombic,"{9,31,40,50,51,54,56}",1580.0
Breithauptite,NiSb,"{""Ni"": 1.0, ""Sb"": 1.0}",180.453,#7FFF00,hexagonal,"{33,56}",940.0
Brenkite,Ca2(CO3)F2,"{""Ca"": 2.0, ""C"": 1.0, ""O"": 3.0, ""F"": 2.0}",178.16,#FFFFFF,orthorhombic,"{23,35,36}",1415.0
Brewsterite-Ba,Ba(Al2Si6)O16·5H2O,"{""Ba"": 1.0, ""Al"": 2.0, ""Si"": 6.0, ""O"": 21.0, ""H"": 10.0}",705.863,#FFFFFF,triclinic,"{22,23,32}",1057.0
Brewsterite-Sr,Sr(Al2Si6)O16·5H2O,"{""Sr"": 1.0, ""Al"": 2.0, ""Si"": 6.0, ""O"": 21.0, ""H"": 10.0}",656.153,#FFFFFF,triclinic,"{22,23,32}",1057.0
Breyite,Ca3Si3O9,"{""Ca"": 3.0, ""Si"": 3.0, ""O"": 9.0}",348.48,#FFFFFF,triclinic,"{36,39}",361.0
Brezinaite,Cr3S4,"{""Cr"": 3.0, ""S"": 4.0}",284.228,#A9A9A9,monoclinic,"{5,6}",299.0
Brianite,Na2CaMg(PO4)2,"{""Na"": 2.0, ""Ca"": 1.0, ""Mg"": 1.0, ""P"": 2.0, ""O"": 8.0}",300.303,#FFFFFF,monoclinic,"{5,6}",299.0
Brianroulstonite,Ca3B5O6(OH)7Cl2·8H2O,"{""Ca"": 3.0, ""B"": 5.0, ""O"": 21.0, ""H"": 23.0, ""Cl"": 2.0}",604.347,#FFFFFF,monoclinic,{25},210.0
Briartite,Cu2FeGeS4,"{""Cu"": 2.0, ""Fe"": 1.0, ""Ge"": 1.0, ""S"": 4.0}",383.807,#DAA520,tetragonal,{12},129.0
Bridgesite-(Ce),CaCe2Cu6(SO4)4(OH)12·8H2O,"{""Ca"": 1.0, ""Ce"": 2.0, ""Cu"": 6.0, ""S"": 4.0, ""O"": 36.0, ""H"": 28.0}",1434.022,#FFFFFF,monoclinic,{47},1998.0
Bridgmanite,MgSiO3,"{""Mg"": 1.0, ""Si"": 1.0, ""O"": 3.0}",100.387,#FFFFFF,orthorhombic,"{6,39}",275.0
Britvinite,Pb14Mg9(Si10O28)(BO3)4(CO3)2(OH)12F2,"{""Pb"": 14.0, ""Mg"": 9.0, ""Si"": 10.0, ""O"": 58.0, ""B"": 4.0, ""C"": 2.0, ""H"": 12.0, ""F"": 2.0}",4445.691,#FFFFFF,triclinic,"{31,47}",2354.0
Brizziite,NaSbO3,"{""Na"": 1.0, ""Sb"": 1.0, ""O"": 3.0}",192.747,#A9A9A9,hexagonal,{47},1998.0
Brochantite,Cu4(SO4)(OH)6,"{""Cu"": 4.0, ""S"": 1.0, ""O"": 10.0, ""H"": 6.0}",452.282,#FFFFFF,monoclinic,"{47,50,54}",2505.0
Brodtkorbite,Cu2HgSe2,"{""Cu"": 2.0, ""Hg"": 1.0, ""Se"": 2.0}",485.624,#00BFFF,monoclinic,"{23,33}",1195.0
Bromargyrite,AgBr,"{""Ag"": 1.0, ""Br"": 1.0}",187.774,#C0C0C0,cubic,{47},1998.0
Bromellite,BeO,"{""Be"": 1.0, ""O"": 1.0}",25.0112,#FFFFFF,hexagonal,"{23,35,47}",3122.0
Brontesite,(NH4)3PbCl5,"{""N"": 3.0, ""H"": 12.0, ""Pb"": 1.0, ""Cl"": 5.0}",438.567,#FFFFFF,orthorhombic,{45},424.0
Brookite,TiO2,"{""Ti"": 1.0, ""O"": 2.0}",79.865,#FFFFFF,orthorhombic,"{19,23,24,26,34,36}",1720.0
Brownmillerite,Ca2Fe3+AlO5,"{""Ca"": 2.0, ""Fe"": 1.0, ""Al"": 1.0, ""O"": 5.0}",242.978,#556B2F,orthorhombic,"{31,40,50,51,54,56}",1453.0
Brucite,Mg(OH)2,"{""Mg"": 1.0, ""O"": 2.0, ""H"": 2.0}",58.319,#FFFFFF,hexagonal,"{6,13,14,31,40,45,49}",1509.0
Bruggenite,Ca(IO3)2·H2O,"{""Ca"": 1.0, ""I"": 2.0, ""O"": 7.0, ""H"": 2.0}",407.887,#FFFFFF,monoclinic,{25},210.0
Brugnatellite,Mg6Fe3+(CO3)(OH)13·4H2O,"{""Mg"": 6.0, ""Fe"": 1.0, ""C"": 1.0, ""O"": 20.0, ""H"": 21.0}",554.834,#556B2F,hexagonal,{13},67.0
Brumadoite,Cu3(Te6+O4)(OH)4·5H2O,"{""Cu"": 3.0, ""Te"": 1.0, ""O"": 13.0, ""H"": 14.0}",540.337,#FFFFFF,monoclinic,{47},1998.0
Brunogeierite,Fe2+2Ge4+O4,"{""Fe"": 2.0, ""Ge"": 1.0, ""O"": 4.0}",248.316,#8B4513,cubic,{47},1998.0
Brunovskyite,NaZrSi2O6(OH),"{""Na"": 1.0, ""Zr"": 1.0, ""Si"": 2.0, ""O"": 7.0, ""H"": 1.0}",283.385,#FFFFFF,triclinic,{},1.0
Brushite,Ca(PO3OH)·2H2O,"{""Ca"": 1.0, ""P"": 1.0, ""O"": 6.0, ""H"": 5.0}",172.086,#FFFFFF,monoclinic,"{21,49,52}",228.0
Bubnovaite,K2Na8Ca(SO4)6,"{""K"": 2.0, ""Na"": 8.0, ""Ca"": 1.0, ""S"": 6.0, ""O"": 24.0}",878.53,#FFFFFF,hexagonal,{45},424.0
Buchwaldite,NaCa(PO4),"{""Na"": 1.0, ""Ca"": 1.0, ""P"": 1.0, ""O"": 4.0}",158.038,#FFFFFF,orthorhombic,{5},94.0
Buckhornite,(Pb2BiS3)(AuTe2),"{""Pb"": 2.0, ""Bi"": 1.0, ""S"": 3.0, ""Au"": 1.0, ""Te"": 2.0}",1171.73,#708090,orthorhombic,{33},797.0
Buddingtonite,(NH4)(AlSi3)O8,"{""N"": 1.0, ""H"": 4.0, ""Al"": 1.0, ""Si"": 3.0, ""O"": 8.0}",257.268,#FFFFFF,monoclinic,"{9,23,53}",642.0
Bukovite,(Cu3Fe)Tl2Se4,"{""Cu"": 3.0, ""Fe"": 1.0, ""Tl"": 2.0, ""Se"": 4.0}",971.127,#556B2F,tetragonal,"{23,33}",1195.0
Bukovskyite,Fe3+2(AsO4)(SO4)(OH)·7H2O,"{""Fe"": 2.0, ""As"": 1.0, ""O"": 16.0, ""S"": 1.0, ""H"": 15.0}",489.776,#556B2F,triclinic,"{33,55}",1061.0
Bulachite,Al6(AsO4)3(OH)9(H2O)4·2H2O,"{""Al"": 6.0, ""As"": 3.0, ""O"": 27.0, ""H"": 21.0}",839.799,#FFFFFF,orthorhombic,"{47,55}",2262.0
Bultfonteinite,Ca2SiO3(OH)F·H2O,"{""Ca"": 2.0, ""Si"": 1.0, ""O"": 5.0, ""H"": 3.0, ""F"": 1.0}",210.258,#FFFFFF,triclinic,"{7,31,51}",607.0
Bunsenite,NiO,"{""Ni"": 1.0, ""O"": 1.0}",74.692,#7FFF00,cubic,"{12,47,56}",2270.0
Burangaite,NaFe2+Al5(PO4)4(OH)6·2H2O,"{""Na"": 1.0, ""Fe"": 1.0, ""Al"": 5.0, ""P"": 4.0, ""O"": 24.0, ""H"": 10.0}",731.697,#556B2F,monoclinic,"{34,47}",2562.0
Burckhardtite,Pb2(Fe3+Te6+)(AlSi3O8)O6,"{""Pb"": 2.0, ""Fe"": 1.0, ""Te"": 1.0, ""Al"": 1.0, ""Si"": 3.0, ""O"": 14.0}",933.068,#556B2F,hexagonal,{33},797.0
Burgessite,Co2(H2O)4[AsO3(OH)]2(H2O),"{""Co"": 2.0, ""H"": 12.0, ""O"": 13.0, ""As"": 2.0}",487.793,#FFFFFF,monoclinic,{47},1998.0
Burkeite,Na4(SO4)(CO3),"{""Na"": 4.0, ""S"": 1.0, ""O"": 7.0, ""C"": 1.0}",248.024,#FFFFFF,orthorhombic,"{25,45}",634.0
Burnettite,CaVAlSiO6,"{""Ca"": 1.0, ""V"": 1.0, ""Al"": 1.0, ""Si"": 1.0, ""O"": 6.0}",242.081,#FFFFFF,monoclinic,{3},48.0
Burnsite,KCdCu7O2(SeO3)2Cl9,"{""K"": 1.0, ""Cd"": 1.0, ""Cu"": 7.0, ""O"": 8.0, ""Se"": 2.0, ""Cl"": 9.0}",1201.314,#FFFFFF,hexagonal,{45},424.0
Burpalite,Na4Ca2Zr2(Si2O7)2F4,"{""Na"": 4.0, ""Ca"": 2.0, ""Zr"": 2.0, ""Si"": 4.0, ""O"": 14.0, ""F"": 4.0}",766.882,#FFFFFF,monoclinic,{31},356.0
Burroite,Ca2(NH4)2(V10O28)·15H2O,"{""Ca"": 2.0, ""N"": 2.0, ""H"": 38.0, ""V"": 10.0, ""O"": 43.0}",1343.851,#FFFFFF,triclinic,"{53,55}",381.0
Bushmakinite,Pb2Al(PO4)(VO4)(OH),"{""Pb"": 2.0, ""Al"": 1.0, ""P"": 1.0, ""O"": 9.0, ""V"": 1.0, ""H"": 1.0}",668.297,#FFFFFF,monoclinic,"{21,47}",2077.0
Butlerite,Fe3+(SO4)(OH)·2H2O,"{""Fe"": 1.0, ""S"": 1.0, ""O"": 7.0, ""H"": 5.0}",204.938,#556B2F,monoclinic,"{45,47,55}",2686.0
Butschliite,K2Ca(CO3)2,"{""K"": 2.0, ""Ca"": 1.0, ""C"": 2.0, ""O"": 6.0}",238.29,#FFFFFF,hexagonal,"{29,53}",124.0
Buynite,TlPb14As17S40,"{""Tl"": 1.0, ""Pb"": 14.0, ""As"": 17.0, ""S"": 40.0}",5661.254,#708090,monoclinic,{},1.0
Bystrite,Na7Ca(Al6Si6)O24(S5)2-Cl1-,"{""Na"": 7.0, ""Ca"": 1.0, ""Al"": 6.0, ""Si"": 6.0, ""O"": 24.0, ""S"": 5.0, ""Cl"": 1.0}",1111.136,#FFFFFF,hexagonal,{35},726.0
Bystromite,MgSb5+2O6,"{""Mg"": 1.0, ""Sb"": 2.0, ""O"": 6.0}",363.819,#A9A9A9,tetragonal,{47},1998.0
Bytizite,Cu3SbSe3,"{""Cu"": 3.0, ""Sb"": 1.0, ""Se"": 3.0}",549.311,#00BFFF,orthorhombic,{33},797.0
Cabalzarite,CaMg2(AsO4)2·2H2O,"{""Ca"": 1.0, ""Mg"": 2.0, ""As"": 2.0, ""O"": 10.0, ""H"": 4.0}",402.554,#FFFFFF,monoclinic,"{32,47}",2410.0
Cabrerite,NiMg2(AsO4)2·8H2O,"{""Ni"": 1.0, ""Mg"": 2.0, ""As"": 2.0, ""O"": 16.0, ""H"": 16.0}",529.259,#FFFFFF,monoclinic,{},1.0
Cabvinite,Th2F7(OH)·3H2O,"{""Th"": 2.0, ""F"": 7.0, ""O"": 4.0, ""H"": 7.0}",668.118,#FFFFFF,tetragonal,{47},1998.0
Cacoxenite,Fe3+24AlO6(PO4)17(OH)12·75H2O,"{""Fe"": 24.0, ""Al"": 1.0, ""O"": 161.0, ""P"": 17.0, ""H"": 162.0}",4632.955,#556B2F,hexagonal,"{21,47,48,55}",2412.0
Cadmium,Cd,"{""Cd"": 1.0}",112.41,#FFFFFF,hexagonal,"{26,33,37}",1182.0
Cadmoselite,CdSe,"{""Cd"": 1.0, ""Se"": 1.0}",191.381,#FFFFFF,hexagonal,"{23,33}",1195.0
Cadsulfohite,Cd2(SO4)(OH)2,"{""Cd"": 2.0, ""S"": 1.0, ""O"": 6.0, ""H"": 2.0}",354.89,#FFFFFF,monoclinic,{},1.0
Cadvanite,Cd(VO3)2,"{""Cd"": 1.0, ""V"": 2.0, ""O"": 6.0}",310.288,#FFFFFF,monoclinic,{},1.0
Caesiumpharmacosiderite,CsFe4[(AsO4)3(OH)4]·4H2O,"{""Cs"": 1.0, ""Fe"": 4.0, ""As"": 3.0, ""O"": 20.0, ""H"": 12.0}",913.132,#556B2F,cubic,{47},1998.0
Cafetite,CaTi2O5·H2O,"{""Ca"": 1.0, ""Ti"": 2.0, ""O"": 6.0, ""H"": 2.0}",233.822,#FFFFFF,monoclinic,{31},356.0
Cahnite,Ca2B(AsO4)(OH)4,"{""Ca"": 2.0, ""B"": 1.0, ""As"": 1.0, ""O"": 8.0, ""H"": 4.0}",297.912,#FFFFFF,tetragonal,"{23,35,46}",1176.0
Calamaite,Na2TiO(SO4)2·2H2O,"{""Na"": 2.0, ""Ti"": 1.0, ""O"": 11.0, ""S"": 2.0, ""H"": 4.0}",337.988,#FFFFFF,orthorhombic,{47},1998.0
Calaverite,AuTe2,"{""Au"": 1.0, ""Te"": 2.0}",452.17,#FFD700,monoclinic,{33},797.0
Calciborite,CaB2O4,"{""Ca"": 1.0, ""B"": 2.0, ""O"": 4.0}",125.694,#FFFFFF,orthorhombic,{31},356.0
Calcinaksite,KNaCa(Si4O10)·H2O,"{""K"": 1.0, ""Na"": 1.0, ""Ca"": 1.0, ""Si"": 4.0, ""O"": 11.0, ""H"": 2.0}",392.511,#FFFFFF,triclinic,"{31,40}",675.0
Calcioancylite-(La),(LaCa)(CO3)2(OH)(H2O),"{""La"": 1.0, ""Ca"": 1.0, ""C"": 2.0, ""O"": 8.0, ""H"": 3.0}",334.026,#FFFFFF,orthorhombic,{34},564.0
Calcioandyrobertsite,KCaCu5(AsO4)4[As(OH)2O2]·2H2O,"{""K"": 1.0, ""Ca"": 1.0, ""Cu"": 5.0, ""As"": 5.0, ""O"": 22.0, ""H"": 6.0}",1129.542,#FFFFFF,orthorhombic,{47},1998.0
Calcioaravaipaite,PbCa2AlF9,"{""Pb"": 1.0, ""Ca"": 2.0, ""Al"": 1.0, ""F"": 9.0}",485.32,#FFFFFF,triclinic,"{23,45,47}",2820.0
Calciocatapleiite,CaZrSi3O9·2H2O,"{""Ca"": 1.0, ""Zr"": 1.0, ""Si"": 3.0, ""O"": 11.0, ""H"": 4.0}",395.578,#FFFFFF,orthorhombic,{35},726.0
Calciocopiapite,CaFe3+4(SO4)6(OH)2·20H2O,"{""Ca"": 1.0, ""Fe"": 4.0, ""S"": 6.0, ""O"": 46.0, ""H"": 42.0}",1234.108,#556B2F,triclinic,"{45,47,50,54}",2929.0
Calciodelrioite,Ca(VO3)2·4H2O,"{""Ca"": 1.0, ""V"": 2.0, ""O"": 10.0, ""H"": 8.0}",310.016,#FFFFFF,monoclinic,{55},264.0
Calcioferrite,Ca4MgFe3+4(PO4)6(OH)4·12H2O,"{""Ca"": 4.0, ""Mg"": 1.0, ""Fe"": 4.0, ""P"": 6.0, ""O"": 40.0, ""H"": 28.0}",1262.025,#556B2F,monoclinic,"{21,47}",2077.0
Calciohatertite,NaNaCa(CaFe3+)(AsO4)3,"{""Na"": 2.0, ""Ca"": 2.0, ""Fe"": 1.0, ""As"": 3.0, ""O"": 12.0}",598.735,#556B2F,monoclinic,{45},424.0
Calciohilairite,CaZrSi3O9·3H2O,"{""Ca"": 1.0, ""Zr"": 1.0, ""Si"": 3.0, ""O"": 12.0, ""H"": 6.0}",413.593,#FFFFFF,hexagonal,{35},726.0
Calciojohillerite,NaCaMgMg2(AsO4)3,"{""Na"": 1.0, ""Ca"": 1.0, ""Mg"": 3.0, ""As"": 3.0, ""O"": 12.0}",552.737,#FFFFFF,monoclinic,{45},424.0
Calciolangbeinite,K2Ca2(SO4)3,"{""K"": 2.0, ""Ca"": 2.0, ""S"": 3.0, ""O"": 12.0}",446.52,#FFFFFF,cubic,"{45,46,51}",604.0
Calcio-olivine,Ca2(SiO4),"{""Ca"": 2.0, ""Si"": 1.0, ""O"": 4.0}",172.237,#FFFFFF,orthorhombic,{31},356.0
Calciopetersite,CaCu6(PO4)2(PO3OH)(OH)6·3H2O,"{""Ca"": 1.0, ""Cu"": 6.0, ""P"": 3.0, ""O"": 21.0, ""H"": 13.0}",863.359,#FFFFFF,hexagonal,{47},1998.0
Calciotantite,CaTa4O11,"{""Ca"": 1.0, ""Ta"": 4.0, ""O"": 11.0}",939.867,#FFFFFF,hexagonal,{34},564.0
Calcioursilite,Ca4(UO2)4(Si2O5)5(OH)6·15H2O,"{""Ca"": 4.0, ""U"": 4.0, ""O"": 54.0, ""Si"": 10.0, ""H"": 36.0}",2293.516,#FFFFFF,orthorhombic,{47},1998.0
Calcioveatchite,SrCaB11O16(OH)5·H2O,"{""Sr"": 1.0, ""Ca"": 1.0, ""B"": 11.0, ""O"": 22.0, ""H"": 7.0}",605.642,#FFFFFF,monoclinic,{25},210.0
Calcite,Ca(CO3),"{""Ca"": 1.0, ""C"": 1.0, ""O"": 3.0}",100.086,#FFFFFF,hexagonal,"{6,7,9,10,14,17,21,23,25,28,31,35,36,40,44,45,49}",3575.0
Calclacite,Ca(CH3COO)Cl·5H2O,"{""Ca"": 1.0, ""C"": 2.0, ""H"": 13.0, ""O"": 7.0, ""Cl"": 1.0}",224.647,#FFFFFF,monoclinic,"{47,57}",2047.0
Calderonite,Pb2Fe3+(VO4)2(OH),"{""Pb"": 2.0, ""Fe"": 1.0, ""V"": 2.0, ""O"": 9.0, ""H"": 1.0}",717.128,#556B2F,monoclinic,"{22,32,47}",2657.0
Caledonite,Cu2Pb5(SO4)3(CO3)(OH)6,"{""Cu"": 2.0, ""Pb"": 5.0, ""S"": 3.0, ""O"": 21.0, ""C"": 1.0, ""H"": 6.0}",1613.31,#FFFFFF,orthorhombic,"{45,47}",2422.0
Calkinsite-(Ce),Ce2(CO3)3·4H2O,"{""Ce"": 2.0, ""C"": 3.0, ""O"": 13.0, ""H"": 8.0}",532.324,#FFFFFF,orthorhombic,"{23,47}",2396.0
Callaghanite,Cu2Mg2(CO3)(OH)6·2H2O,"{""Cu"": 2.0, ""Mg"": 2.0, ""C"": 1.0, ""O"": 11.0, ""H"": 10.0}",373.782,#FFFFFF,monoclinic,"{23,56}",541.0
Calomel,HgCl,"{""Hg"": 1.0, ""Cl"": 1.0}",236.04,#FFFFFF,tetragonal,{47},1998.0
Calzirtite,Ca2Zr5Ti2O16,"{""Ca"": 2.0, ""Zr"": 5.0, ""Ti"": 2.0, ""O"": 16.0}",887.994,#FFFFFF,orthorhombic,"{26,35,36}",1267.0
Camaraite,NaBa3Fe2+8Ti4(Si2O7)4O4(OH)4F3,"{""Na"": 1.0, ""Ba"": 3.0, ""Fe"": 8.0, ""Ti"": 4.0, ""Si"": 8.0, ""O"": 36.0, ""H"": 4.0, ""F"": 3.0}",1934.878,#556B2F,triclinic,{35},726.0
Camaronesite,Fe3+2(PO3OH)2(SO4)(H2O)4·1-2H2O,"{""Fe"": 2.0, ""P"": 2.0, ""O"": 18.0, ""H"": 14.0, ""S"": 1.0}",507.792,#556B2F,hexagonal,{47},1998.0
Camerolaite,Cu6Al3(OH)18(H2O)2[Sb(OH)6](SO4),"{""Cu"": 6.0, ""Al"": 3.0, ""O"": 30.0, ""H"": 28.0, ""Sb"": 1.0, ""S"": 1.0}",1124.236,#FFFFFF,triclinic,{47},1998.0
