name,formula,elements,density,color,crystal
Drobecite,Cd(SO4)·4H2O,"{""Cd"": 1.0, ""S"": 1.0, ""O"": 8.0, ""H"": 8.0}",280.526,#FFFFFF,monoclinic
Droninoite,Ni6Fe3+2(OH)16Cl2·4H2O,"{""Ni"": 6.0, ""Fe"": 2.0, ""O"": 20.0, ""H"": 24.0, ""Cl"": 2.0}",878.92,#556B2F,hexagonal
Drugmanite,Pb2Fe3+(PO4)(PO3OH)(OH)2,"{""Pb"": 2.0, ""Fe"": 1.0, ""P"": 2.0, ""O"": 10.0, ""H"": 3.0}",695.207,#556B2F,monoclinic
Drysdallite,MoSe2,"{""Mo"": 1.0, ""Se"": 2.0}",253.892,#FFFFFF,hexagonal
Dubinskaite,Ca4Sc2Al4[Be2Si8O30](OH)2,"{""Ca"": 4.0, ""Sc"": 2.0, ""Al"": 4.0, ""Be"": 2.0, ""Si"": 8.0, ""O"": 32.0, ""H"": 2.0}",1114.8404,#FFFFFF,triclinic
Dufrenoysite,Pb2As2S5,"{""Pb"": 2.0, ""As"": 2.0, ""S"": 5.0}",724.544,#708090,monoclinic
Duftite,PbCu(AsO4)(OH),"{""Pb"": 1.0, ""Cu"": 1.0, ""As"": 1.0, ""O"": 5.0, ""H"": 1.0}",426.671,#FFFFFF,orthorhombic
Dukeite,Bi3+24Cr6+8O57(OH)6·3H2O,"{""Bi"": 24.0, ""Cr"": 8.0, ""O"": 66.0, ""H"": 12.0}",6499.518,#FFFFFF,hexagonal
Dulanggouite,Bi6Te3,"{""Bi"": 6.0, ""Te"": 3.0}",1636.68,#D2B48C,hexagonal
Dumontite,Pb2(UO2)3O2(PO4)2·5H2O,"{""Pb"": 2.0, ""U"": 3.0, ""O"": 21.0, ""P"": 2.0, ""H"": 10.0}",1536.497,#FFFFFF,monoclinic
Dumortierite,AlAl6BSi3O18,"{""Al"": 7.0, ""B"": 1.0, ""Si"": 3.0, ""O"": 18.0}",571.921,#FFFFFF,orthorhombic
Dundasite,PbAl2(CO3)2(OH)4·H2O,"{""Pb"": 1.0, ""Al"": 2.0, ""C"": 2.0, ""O"": 11.0, ""H"": 6.0}",467.223,#FFFFFF,orthorhombic
Durangite,NaAl(AsO4)F,"{""Na"": 1.0, ""Al"": 1.0, ""As"": 1.0, ""O"": 4.0, ""F"": 1.0}",207.888,#FFFFFF,monoclinic
Duranusite,As4S,"{""As"": 4.0, ""S"": 1.0}",331.748,#FFD700,orthorhombic
Dussertite,BaFe3+3(AsO4)(AsO3OH)(OH)6,"{""Ba"": 1.0, ""Fe"": 3.0, ""As"": 2.0, ""O"": 14.0, ""H"": 7.0}",685.751,#556B2F,hexagonal
Duttonite,V4+O(OH)2,"{""V"": 1.0, ""O"": 3.0, ""H"": 2.0}",100.955,#FFFFFF,monoclinic
Dwornikite,Ni(SO4)·H2O,"{""Ni"": 1.0, ""S"": 1.0, ""O"": 5.0, ""H"": 2.0}",172.764,#FFFFFF,monoclinic
Dymkovite,Ni(UO2)2(As3+O3)2·7H2O,"{""Ni"": 1.0, ""U"": 2.0, ""O"": 17.0, ""As"": 2.0, ""H"": 14.0}",970.692,#FFFFFF,monoclinic
Dypingite,Mg5(CO3)4(OH)2·5H2O,"{""Mg"": 5.0, ""C"": 4.0, ""O"": 19.0, ""H"": 12.0}",485.646,#FFFFFF,
Dzharkenite,FeSe2,"{""Fe"": 1.0, ""Se"": 2.0}",213.787,#8B4513,cubic
Dzierzanowskite,CaCu2S2,"{""Ca"": 1.0, ""Cu"": 2.0, ""S"": 2.0}",231.29,#A9A9A9,hexagonal
Earlandite,Ca3(C6H5O7)2·4H2O,"{""Ca"": 3.0, ""C"": 12.0, ""H"": 18.0, ""O"": 18.0}",570.492,#FFFFFF,triclinic
Eastonite,KAlMg2(Si2Al2)O10(OH)2,"{""K"": 1.0, ""Al"": 3.0, ""Mg"": 2.0, ""Si"": 2.0, ""O"": 12.0, ""H"": 2.0}",418.828,#FFFFFF,monoclinic
Ecdemite,Pb6As3+2O7Cl4,"{""Pb"": 6.0, ""As"": 2.0, ""O"": 7.0, ""Cl"": 4.0}",1646.837,#FFFFFF,tetragonal
Eckerite,Ag2CuAsS3,"{""Ag"": 2.0, ""Cu"": 1.0, ""As"": 1.0, ""S"": 3.0}",450.388,#FFD700,monoclinic
Eckermannite,NaNa2(Mg4Al)Si8O22(OH)2,"{""Na"": 3.0, ""Mg"": 4.0, ""Al"": 1.0, ""Si"": 8.0, ""O"": 24.0, ""H"": 2.0}",803.844,#FFFFFF,monoclinic
Ecrinsite,AgTl3Pb4As11Sb9S36,"{""Ag"": 1.0, ""Tl"": 3.0, ""Pb"": 4.0, ""As"": 11.0, ""Sb"": 9.0, ""S"": 36.0}",4623.952,#708090,triclinic
Eddavidite,Cu12Pb2O15Br2,"{""Cu"": 12.0, ""Pb"": 2.0, ""O"": 15.0, ""Br"": 2.0}",1576.745,#FFFFFF,cubic
Edenharterite,TlPbAs3S6,"{""Tl"": 1.0, ""Pb"": 1.0, ""As"": 3.0, ""S"": 6.0}",828.706,#708090,orthorhombic
Edenite,NaCa2Mg5(Si7Al)O22(OH)2,"{""Na"": 1.0, ""Ca"": 2.0, ""Mg"": 5.0, ""Si"": 7.0, ""Al"": 1.0, ""O"": 24.0, ""H"": 2.0}",834.24,#FFFFFF,monoclinic
Edgarbaileyite,Hg1+6Si2O7,"{""Hg"": 6.0, ""Si"": 2.0, ""O"": 7.0}",1371.703,#FFFFFF,monoclinic
Edgarite,FeNb3S6,"{""Fe"": 1.0, ""Nb"": 3.0, ""S"": 6.0}",526.923,#DAA520,hexagonal
Edgrewite,Ca9(SiO4)4F2,"{""Ca"": 9.0, ""Si"": 4.0, ""O"": 16.0, ""F"": 2.0}",767.022,#FFFFFF,monoclinic
Edingtonite,Ba(Si3Al2)O10·4H2O,"{""Ba"": 1.0, ""Si"": 3.0, ""Al"": 2.0, ""O"": 14.0, ""H"": 8.0}",507.599,#FFFFFF,orthorhombic
Edoylerite,Hg2+3(Cr6+O4)S2,"{""Hg"": 3.0, ""Cr"": 1.0, ""O"": 4.0, ""S"": 2.0}",781.882,#FFFFFF,monoclinic
Edscottite,Fe5C2,"{""Fe"": 5.0, ""C"": 2.0}",303.247,#8B4513,monoclinic
Edtollite,K2NaCu5Fe3+O2(AsO4)4,"{""K"": 2.0, ""Na"": 1.0, ""Cu"": 5.0, ""Fe"": 1.0, ""O"": 18.0, ""As"": 4.0}",1062.431,#556B2F,triclinic
Edwardsite,Cu3Cd2(SO4)2(OH)6·4H2O,"{""Cu"": 3.0, ""Cd"": 2.0, ""S"": 2.0, ""O"": 18.0, ""H"": 14.0}",781.672,#FFFFFF,monoclinic
Edwindavisite,Cu(C2O4)(NH3),"{""Cu"": 1.0, ""C"": 2.0, ""O"": 4.0, ""N"": 1.0, ""H"": 3.0}",168.595,#FFFFFF,orthorhombic
Effenbergerite,BaCuSi4O10,"{""Ba"": 1.0, ""Cu"": 1.0, ""Si"": 4.0, ""O"": 10.0}",473.206,#FFFFFF,tetragonal
Efremovite,(NH4)2Mg2(SO4)3,"{""N"": 2.0, ""H"": 8.0, ""Mg"": 2.0, ""S"": 3.0, ""O"": 12.0}",372.856,#FFFFFF,cubic
Eglestonite,([Hg1+]2)3OCl3(OH),"{""Hg"": 6.0, ""O"": 2.0, ""Cl"": 3.0, ""H"": 1.0}",1342.896,#FFFFFF,cubic
Ehrigite,Bi8Te3,"{""Bi"": 8.0, ""Te"": 3.0}",2054.64,#D2B48C,hexagonal
Eifelite,KNa2(MgNa)(Mg3Si12)O30,"{""K"": 1.0, ""Na"": 3.0, ""Mg"": 4.0, ""Si"": 12.0, ""O"": 30.0}",1022.278,#FFFFFF,hexagonal
Eirikite,KNa6Be2(Si15Al3)O39F2,"{""K"": 1.0, ""Na"": 6.0, ""Be"": 2.0, ""Si"": 15.0, ""Al"": 3.0, ""O"": 39.0, ""F"": 2.0}",1359.2404,#FFFFFF,hexagonal
Eitelite,Na2Mg(CO3)2,"{""Na"": 2.0, ""Mg"": 1.0, ""C"": 2.0, ""O"": 6.0}",190.301,#FFFFFF,hexagonal
Ekanite,Ca2ThSi8O20,"{""Ca"": 2.0, ""Th"": 1.0, ""Si"": 8.0, ""O"": 20.0}",856.856,#FFFFFF,tetragonal
Ekaterinite,Ca2B4O7Cl2·2H2O,"{""Ca"": 2.0, ""B"": 4.0, ""O"": 9.0, ""Cl"": 2.0, ""H"": 4.0}",342.319,#FFFFFF,hexagonal
Ekebergite,ThFeNb2O8,"{""Th"": 1.0, ""Fe"": 1.0, ""Nb"": 2.0, ""O"": 8.0}",601.689,#556B2F,monoclinic
Elaliite,(Fe2+8Fe3+)(PO4)O8,"{""Fe"": 9.0, ""P"": 1.0, ""O"": 12.0}",725.567,#8B4513,orthorhombic
Elasmochloite,Na3Cu6BiO4(SO4)5,"{""Na"": 3.0, ""Cu"": 6.0, ""Bi"": 1.0, ""O"": 24.0, ""S"": 5.0}",1203.502,#FFFFFF,monoclinic
Eldfellite,NaFe3+(SO4)2,"{""Na"": 1.0, ""Fe"": 1.0, ""S"": 2.0, ""O"": 8.0}",270.947,#556B2F,monoclinic
Eldragonite,Cu6BiSe4(Se2),"{""Cu"": 6.0, ""Bi"": 1.0, ""Se"": 6.0}",1064.082,#00BFFF,orthorhombic
Eleomelanite,(K2Pb)Cu4O2(SO4)4,"{""K"": 2.0, ""Pb"": 1.0, ""Cu"": 4.0, ""O"": 18.0, ""S"": 4.0}",955.802,#FFFFFF,monoclinic
Elgoresyite,(Mg5Si2)O9,"{""Mg"": 5.0, ""Si"": 2.0, ""O"": 9.0}",321.686,#FFFFFF,monoclinic
Eliopoulosite,V7S8,"{""V"": 7.0, ""S"": 8.0}",613.074,#A9A9A9,hexagonal
Elkinstantonite,Fe4(PO4)2O,"{""Fe"": 4.0, ""P"": 2.0, ""O"": 9.0}",429.319,#8B4513,monoclinic
Ellinaite,CaCr2O4,"{""Ca"": 1.0, ""Cr"": 2.0, ""O"": 4.0}",208.066,#228B22,orthorhombic
Ellingsenite,Na5Ca6Si18O38(OH)13·6H2O,"{""Na"": 5.0, ""Ca"": 6.0, ""Si"": 18.0, ""O"": 57.0, ""H"": 25.0}",1798.091,#FFFFFF,triclinic
Elliottite,NaMgAl3(PO4)2F6·9H2O,"{""Na"": 1.0, ""Mg"": 1.0, ""Al"": 3.0, ""P"": 2.0, ""O"": 17.0, ""F"": 6.0, ""H"": 18.0}",594.304,#FFFFFF,monoclinic
Ellisite,Tl3AsS3,"{""Tl"": 3.0, ""As"": 1.0, ""S"": 3.0}",784.242,#FFD700,hexagonal
Elpasolite,K2NaAlF6,"{""K"": 2.0, ""Na"": 1.0, ""Al"": 1.0, ""F"": 6.0}",242.156,#FFFFFF,cubic
Elpidite,Na2ZrSi6O15·3H2O,"{""Na"": 2.0, ""Zr"": 1.0, ""Si"": 6.0, ""O"": 18.0, ""H"": 6.0}",599.744,#FFFFFF,orthorhombic
Eltyubyuite,Ca12Fe3+10Si4O32Cl6,"{""Ca"": 12.0, ""Fe"": 10.0, ""Si"": 4.0, ""O"": 32.0, ""Cl"": 6.0}",1876.394,#556B2F,cubic
Elyite,CuPb4(SO4)O2(OH)4·H2O,"{""Cu"": 1.0, ""Pb"": 4.0, ""S"": 1.0, ""O"": 11.0, ""H"": 6.0}",1106.443,#FFFFFF,monoclinic
Embreyite,Pb5(CrO4)2(PO4)2·H2O,"{""Pb"": 5.0, ""Cr"": 2.0, ""O"": 17.0, ""P"": 2.0, ""H"": 2.0}",1475.939,#FFFFFF,monoclinic
Emeleusite,Na2LiFe3+Si6O15,"{""Na"": 2.0, ""Li"": 1.0, ""Fe"": 1.0, ""Si"": 6.0, ""O"": 15.0}",517.26,#556B2F,orthorhombic
Emmerichite,Ba2Ti2Na3Fe3+(Si2O7)2O2F2,"{""Ba"": 2.0, ""Ti"": 2.0, ""Na"": 3.0, ""Fe"": 1.0, ""Si"": 4.0, ""O"": 16.0, ""F"": 2.0}",901.529,#556B2F,monoclinic
Emmonsite,Fe3+2(Te4+O3)3·2H2O,"{""Fe"": 2.0, ""Te"": 3.0, ""O"": 11.0, ""H"": 4.0}",674.511,#556B2F,triclinic
Emplectite,CuBiS2,"{""Cu"": 1.0, ""Bi"": 1.0, ""S"": 2.0}",336.646,#A9A9A9,orthorhombic
Empressite,AgTe,"{""Ag"": 1.0, ""Te"": 1.0}",235.47,#C0C0C0,orthorhombic
Enargite,Cu3AsS4,"{""Cu"": 3.0, ""As"": 1.0, ""S"": 4.0}",393.8,#FFD700,orthorhombic
Engelhauptite,KCu3(V2O7)(OH)2Cl,"{""K"": 1.0, ""Cu"": 3.0, ""V"": 2.0, ""O"": 9.0, ""H"": 2.0, ""Cl"": 1.0}",513.077,#FFFFFF,hexagonal
Englishite,K3Na2Ca10Al15(OH)7(PO4)21·26H2O,"{""K"": 3.0, ""Na"": 2.0, ""Ca"": 10.0, ""Al"": 15.0, ""O"": 117.0, ""H"": 59.0, ""P"": 21.0}",3550.593,#FFFFFF,monoclinic
Enneasartorite,Tl6Pb32As70S140,"{""Tl"": 6.0, ""Pb"": 32.0, ""As"": 70.0, ""S"": 140.0}",17589.62,#708090,monoclinic
Enricofrancoite,KNaCaSi4O10,"{""K"": 1.0, ""Na"": 1.0, ""Ca"": 1.0, ""Si"": 4.0, ""O"": 10.0}",374.496,#FFFFFF,triclinic
Enstatite,Mg2Si2O6,"{""Mg"": 2.0, ""Si"": 2.0, ""O"": 6.0}",200.774,#FFFFFF,orthorhombic
Ephesite,NaLiAl2(Si2Al2)O10(OH)2,"{""Na"": 1.0, ""Li"": 1.0, ""Al"": 4.0, ""Si"": 2.0, ""O"": 12.0, ""H"": 2.0}",388.032,#FFFFFF,triclinic
Epididymite,Na2Be2Si6O15·H2O,"{""Na"": 2.0, ""Be"": 2.0, ""Si"": 6.0, ""O"": 16.0, ""H"": 2.0}",490.5144,#FFFFFF,orthorhombic
Epidote,Ca2(Al2Fe3+)[Si2O7][SiO4]O(OH),"{""Ca"": 2.0, ""Al"": 2.0, ""Fe"": 1.0, ""Si"": 3.0, ""O"": 13.0, ""H"": 1.0}",483.215,#556B2F,monoclinic
Epidote-(Sr),CaSr(Al2Fe3+)[Si2O7][SiO4]O(OH),"{""Ca"": 1.0, ""Sr"": 1.0, ""Al"": 2.0, ""Fe"": 1.0, ""Si"": 3.0, ""O"": 13.0, ""H"": 1.0}",530.757,#556B2F,monoclinic
Epifanovite,NaCaCu5(PO4)4[AsO2(OH)2]·7H2O,"{""Na"": 1.0, ""Ca"": 1.0, ""Cu"": 5.0, ""P"": 4.0, ""O"": 27.0, ""As"": 1.0, ""H"": 16.0}",1027.717,#FFFFFF,monoclinic
Epistilbite,Ca3[Si18Al6O48]·16H2O,"{""Ca"": 3.0, ""Si"": 18.0, ""Al"": 6.0, ""O"": 64.0, ""H"": 32.0}",1843.848,#FFFFFF,triclinic
Epsomite,Mg(SO4)·7H2O,"{""Mg"": 1.0, ""S"": 1.0, ""O"": 11.0, ""H"": 14.0}",246.466,#FFFFFF,orthorhombic
Erdite,NaFeS2·2H2O,"{""Na"": 1.0, ""Fe"": 1.0, ""S"": 2.0, ""H"": 4.0, ""O"": 2.0}",178.985,#556B2F,monoclinic
Ericaite,Fe2+3B7O13Cl,"{""Fe"": 3.0, ""B"": 7.0, ""O"": 13.0, ""Cl"": 1.0}",486.642,#556B2F,orthorhombic
Ericlaxmanite,Cu4O(AsO4)2,"{""Cu"": 4.0, ""O"": 9.0, ""As"": 2.0}",548.019,#00BFFF,triclinic
Eringaite,Ca3Sc2(SiO4)3,"{""Ca"": 3.0, ""Sc"": 2.0, ""Si"": 3.0, ""O"": 12.0}",486.389,#FFFFFF,cubic
Eriochalcite,CuCl2·2H2O,"{""Cu"": 1.0, ""Cl"": 2.0, ""H"": 4.0, ""O"": 2.0}",170.476,#FFFFFF,orthorhombic
Erionite-Ca,Ca5[Si26Al10O72]·30H2O,"{""Ca"": 5.0, ""Si"": 26.0, ""Al"": 10.0, ""O"": 102.0, ""H"": 60.0}",2892.798,#FFFFFF,hexagonal
Erionite-K,K10[Si26Al10O72]·30H2O,"{""K"": 10.0, ""Si"": 26.0, ""Al"": 10.0, ""O"": 102.0, ""H"": 60.0}",3083.388,#FFFFFF,hexagonal
Erionite-Na,Na10[Si26Al10O72]·30H2O,"{""Na"": 10.0, ""Si"": 26.0, ""Al"": 10.0, ""O"": 102.0, ""H"": 60.0}",2922.308,#FFFFFF,hexagonal
Erlianite,Fe2+4Fe3+2Si6O15(OH)8,"{""Fe"": 6.0, ""Si"": 6.0, ""O"": 23.0, ""H"": 8.0}",879.621,#556B2F,orthorhombic
Erlichmanite,OsS2,"{""Os"": 1.0, ""S"": 2.0}",254.35,#A9A9A9,cubic
Ermakovite,(NH4)(As2O3)2Br,"{""N"": 1.0, ""H"": 4.0, ""As"": 4.0, ""O"": 6.0, ""Br"": 1.0}",493.625,#FFFFFF,hexagonal
Ermeloite,Al(PO4)·H2O,"{""Al"": 1.0, ""P"": 1.0, ""O"": 5.0, ""H"": 2.0}",139.967,#FFFFFF,monoclinic
Ernstburkeite,Mg(CH3SO3)2·12H2O,"{""Mg"": 1.0, ""C"": 2.0, ""H"": 30.0, ""S"": 2.0, ""O"": 18.0}",430.669,#FFFFFF,hexagonal
Erssonite,CaMg7Fe3+2(OH)18(SO4)2·12H2O,"{""Ca"": 1.0, ""Mg"": 7.0, ""Fe"": 2.0, ""O"": 38.0, ""H"": 42.0, ""S"": 2.0}",1036.321,#556B2F,hexagonal
Ertixiite,Na2Si4O9,"{""Na"": 2.0, ""Si"": 4.0, ""O"": 9.0}",302.311,#FFFFFF,cubic
Ertlite,NaAl3Al6(Si4B2O18)(BO3)3(OH)3O,"{""Na"": 1.0, ""Al"": 9.0, ""Si"": 4.0, ""B"": 5.0, ""O"": 31.0, ""H"": 3.0}",931.211,#FFFFFF,hexagonal
Erythrite,Co3(AsO4)2·8H2O,"{""Co"": 3.0, ""As"": 2.0, ""O"": 16.0, ""H"": 16.0}",598.755,#FFFFFF,monoclinic
Erythrosiderite,K2Fe3+Cl5·H2O,"{""K"": 2.0, ""Fe"": 1.0, ""Cl"": 5.0, ""H"": 2.0, ""O"": 1.0}",329.306,#556B2F,orthorhombic
Erzwiesite,Ag8Pb12Bi16S40,"{""Ag"": 8.0, ""Pb"": 12.0, ""Bi"": 16.0, ""S"": 40.0}",7975.44,#708090,orthorhombic
Eskebornite,CuFeSe2,"{""Cu"": 1.0, ""Fe"": 1.0, ""Se"": 2.0}",277.333,#00BFFF,tetragonal
Eskimoite,Ag7Pb10Bi15S36,"{""Ag"": 7.0, ""Pb"": 10.0, ""Bi"": 15.0, ""S"": 36.0}",7115.95,#708090,monoclinic
Eskolaite,Cr2O3,"{""Cr"": 2.0, ""O"": 3.0}",151.989,#228B22,hexagonal
Espadaite,Na4Ca3Mg2[AsO3(OH)]2[AsO2(OH)2]10(H2O)6·H2O,"{""Na"": 4.0, ""Ca"": 3.0, ""Mg"": 2.0, ""As"": 12.0, ""O"": 55.0, ""H"": 36.0}",2076.101,#FFFFFF,orthorhombic
Esperanzaite,NaCa2Al2(AsO4)2F4(OH)·2H2O,"{""Na"": 1.0, ""Ca"": 2.0, ""Al"": 2.0, ""As"": 2.0, ""O"": 11.0, ""F"": 4.0, ""H"": 5.0}",563.975,#FFFFFF,monoclinic
Esquireite,BaSi6O13·7H2O,"{""Ba"": 1.0, ""Si"": 6.0, ""O"": 20.0, ""H"": 14.0}",639.932,#FFFFFF,monoclinic
Esseneite,CaFe3+AlSiO6,"{""Ca"": 1.0, ""Fe"": 1.0, ""Al"": 1.0, ""Si"": 1.0, ""O"": 6.0}",246.984,#556B2F,monoclinic
Ettringite,Ca6Al2(SO4)3(OH)12·27H2O,"{""Ca"": 6.0, ""Al"": 2.0, ""S"": 3.0, ""O"": 51.0, ""H"": 66.0}",1273.089,#FFFFFF,hexagonal
Eucairite,CuAgSe,"{""Cu"": 1.0, ""Ag"": 1.0, ""Se"": 1.0}",250.387,#00BFFF,orthorhombic
Euchlorine,KNaCu3O(SO4)3,"{""K"": 1.0, ""Na"": 1.0, ""Cu"": 3.0, ""O"": 13.0, ""S"": 3.0}",556.893,#FFFFFF,monoclinic
Euchroite,Cu2(AsO4)(OH)·3H2O,"{""Cu"": 2.0, ""As"": 1.0, ""O"": 8.0, ""H"": 7.0}",337.062,#FFFFFF,orthorhombic
Euclase,BeAlSiO4(OH),"{""Be"": 1.0, ""Al"": 1.0, ""Si"": 1.0, ""O"": 5.0, ""H"": 1.0}",145.0822,#FFFFFF,monoclinic
Eucryptite,LiAlSiO4,"{""Li"": 1.0, ""Al"": 1.0, ""Si"": 1.0, ""O"": 4.0}",126.003,#FFFFFF,hexagonal
Eudidymite,Na2Be2Si6O15·H2O,"{""Na"": 2.0, ""Be"": 2.0, ""Si"": 6.0, ""O"": 16.0, ""H"": 2.0}",490.5144,#FFFFFF,monoclinic
Eugenite,Ag11Hg2,"{""Ag"": 11.0, ""Hg"": 2.0}",1587.75,#C0C0C0,cubic
Eugsterite,Na4Ca(SO4)3·2H2O,"{""Na"": 4.0, ""Ca"": 1.0, ""S"": 3.0, ""O"": 14.0, ""H"": 4.0}",456.236,#FFFFFF,
Eulytine,Bi4(SiO4)3,"{""Bi"": 4.0, ""Si"": 3.0, ""O"": 12.0}",1112.163,#D2B48C,cubic
Euxenite-(Y),Y(NbTi)O6,"{""Y"": 1.0, ""Nb"": 1.0, ""Ti"": 1.0, ""O"": 6.0}",325.673,#FFFFFF,orthorhombic
Evanichite,Pb6Cr3+(Cr6+O4)2(SO4)(OH)7FCl,"{""Pb"": 6.0, ""Cr"": 3.0, ""O"": 19.0, ""S"": 1.0, ""H"": 7.0, ""F"": 1.0, ""Cl"": 1.0}",1796.733,#FFFFFF,hexagonal
Evansite,Al3(PO4)(OH)6·8H2O,"{""Al"": 3.0, ""P"": 1.0, ""O"": 18.0, ""H"": 22.0}",422.078,#FFFFFF,
Evdokimovite,Tl4(VO)3(SO4)5(H2O)5,"{""Tl"": 4.0, ""V"": 3.0, ""O"": 28.0, ""S"": 5.0, ""H"": 10.0}",1588.698,#FFFFFF,monoclinic
Evenkite,C23H48,"{""C"": 23.0, ""H"": 48.0}",324.637,#FFFFFF,orthorhombic
Evseevite,Na2Mg(AsO4)F,"{""Na"": 2.0, ""Mg"": 1.0, ""As"": 1.0, ""O"": 4.0, ""F"": 1.0}",228.201,#FFFFFF,orthorhombic
Ewingite,Mg8Ca8(UO2)24(CO3)30O4(OH)12(H2O)138,"{""Mg"": 8.0, ""Ca"": 8.0, ""U"": 24.0, ""O"": 292.0, ""C"": 30.0, ""H"": 288.0}",11550.126,#FFFFFF,tetragonal
Eyselite,Fe3+Ge4+3O7(OH),"{""Fe"": 1.0, ""Ge"": 3.0, ""O"": 8.0, ""H"": 1.0}",402.735,#556B2F,orthorhombic
Ezcurrite,Na2B5O7(OH)3·2H2O,"{""Na"": 2.0, ""B"": 5.0, ""O"": 12.0, ""H"": 7.0}",299.074,#FFFFFF,triclinic
Ezochiite,Cu+(Rh3+Pt4+)S4,"{""Cu"": 1.0, ""Rh"": 1.0, ""Pt"": 1.0, ""S"": 4.0}",489.776,#A9A9A9,cubic
Eztlite,Pb2Fe3+3(Te4+O3)3(SO4)O2Cl,"{""Pb"": 2.0, ""Fe"": 3.0, ""Te"": 3.0, ""O"": 15.0, ""S"": 1.0, ""Cl"": 1.0}",1272.23,#556B2F,monoclinic
Fabianite,CaB3O5(OH),"{""Ca"": 1.0, ""B"": 3.0, ""O"": 6.0, ""H"": 1.0}",169.51,#FFFFFF,monoclinic
Fabriesite,Na3Al3Si3O12·2H2O,"{""Na"": 3.0, ""Al"": 3.0, ""Si"": 3.0, ""O"": 14.0, ""H"": 4.0}",462.189,#FFFFFF,orthorhombic
Fairbankite,Pb2+12(Te4+O3)11(SO4),"{""Pb"": 12.0, ""Te"": 11.0, ""O"": 37.0, ""S"": 1.0}",4514.023,#FFFFFF,triclinic
Fairchildite,K2Ca(CO3)2,"{""K"": 2.0, ""Ca"": 1.0, ""C"": 2.0, ""O"": 6.0}",238.29,#FFFFFF,hexagonal
Faizievite,Li6K2Na(Ca6Na)Ti4(Si6O18)2(Si12O30)F2,"{""Li"": 6.0, ""K"": 2.0, ""Na"": 2.0, ""Ca"": 6.0, ""Ti"": 4.0, ""Si"": 24.0, ""O"": 66.0, ""F"": 2.0}",2365.722,#FFFFFF,triclinic
Falcondoite,Ni4Si6O15(OH)2·6H2O,"{""Ni"": 4.0, ""Si"": 6.0, ""O"": 23.0, ""H"": 14.0}",785.371,#FFFFFF,orthorhombic
Falgarite,K4(VO)3(SO4)5,"{""K"": 4.0, ""V"": 3.0, ""O"": 23.0, ""S"": 5.0}",837.495,#FFFFFF,monoclinic
Falkmanite,Pb3Sb2S6,"{""Pb"": 3.0, ""Sb"": 2.0, ""S"": 6.0}",1057.48,#708090,monoclinic
Famatinite,Cu3SbS4,"{""Cu"": 3.0, ""Sb"": 1.0, ""S"": 4.0}",440.638,#A9A9A9,tetragonal
Fangite,Tl3AsS4,"{""Tl"": 3.0, ""As"": 1.0, ""S"": 4.0}",816.302,#FFD700,orthorhombic
Fanguangite,(MoO2)(PO3OH)·4H2O,"{""Mo"": 1.0, ""O"": 10.0, ""P"": 1.0, ""H"": 9.0}",295.986,#FFFFFF,triclinic
Farneseite,Na46Ca10(Si42Al42O168)(SO4)12·6H2O,"{""Na"": 46.0, ""Ca"": 10.0, ""Si"": 42.0, ""Al"": 42.0, ""O"": 222.0, ""S"": 12.0, ""H"": 12.0}",7719.728,#FFFFFF,hexagonal
Farringtonite,Mg3(PO4)2,"{""Mg"": 3.0, ""P"": 2.0, ""O"": 8.0}",262.855,#FFFFFF,monoclinic
Fassinaite,Pb2(CO3)(S2O3),"{""Pb"": 2.0, ""C"": 1.0, ""O"": 6.0, ""S"": 2.0}",586.525,#FFFFFF,orthorhombic
Favreauite,PbBiCu6O4(SeO3)4(OH)·H2O,"{""Pb"": 1.0, ""Bi"": 1.0, ""Cu"": 6.0, ""O"": 18.0, ""Se"": 4.0, ""H"": 3.0}",1404.346,#FFFFFF,tetragonal
Fayalite,Fe2+2(SiO4),"{""Fe"": 2.0, ""Si"": 1.0, ""O"": 4.0}",203.771,#8B4513,orthorhombic
Fedorovskite,Ca2Mg2B4O7(OH)6,"{""Ca"": 2.0, ""Mg"": 2.0, ""B"": 4.0, ""O"": 13.0, ""H"": 6.0}",386.041,#FFFFFF,orthorhombic
Fedotovite,K2Cu3O(SO4)3,"{""K"": 2.0, ""Cu"": 3.0, ""O"": 13.0, ""S"": 3.0}",573.001,#FFFFFF,monoclinic
Fehrite,MgCu4(SO4)2(OH)6·6H2O,"{""Mg"": 1.0, ""Cu"": 4.0, ""S"": 2.0, ""O"": 20.0, ""H"": 18.0}",680.733,#FFFFFF,monoclinic
Feiite,Fe2+2(Fe2+Ti4+)O5,"{""Fe"": 3.0, ""Ti"": 1.0, ""O"": 5.0}",295.397,#8B4513,orthorhombic
Felbertalite,Cu2Pb6Bi8S19,"{""Cu"": 2.0, ""Pb"": 6.0, ""Bi"": 8.0, ""S"": 19.0}",3651.272,#708090,monoclinic
Felsobanyaite,Al4(SO4)(OH)10·4H2O,"{""Al"": 4.0, ""S"": 1.0, ""O"": 18.0, ""H"": 18.0}",446.114,#FFFFFF,monoclinic
Fenaksite,KNaFe2+Si4O10,"{""K"": 1.0, ""Na"": 1.0, ""Fe"": 1.0, ""Si"": 4.0, ""O"": 10.0}",390.263,#556B2F,triclinic
