name,formula,elements,density,color,crystal_system,dna
Demicheleite-(I),BiSI,"{""Bi"": 1.0, ""S"": 1.0, ""I"": 1.0}",367.94,#A9A9A9,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Dendoraite-(NH4),(NH4)2NaAl(C2O4)(PO3OH)2(H2O)2,"{""N"": 2.0, ""H"": 14.0, ""Na"": 1.0, ""Al"": 1.0, ""C"": 2.0, ""O"": 14.0, ""P"": 2.0}",402.06,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Denisovite,KCa2Si3O8F,"{""K"": 1.0, ""Ca"": 2.0, ""Si"": 3.0, ""O"": 8.0, ""F"": 1.0}",350.53,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Derbylite,Fe3+4Ti4+3Sb3+O13(OH),"{""Fe"": 4.0, ""Ti"": 3.0, ""Sb"": 1.0, ""O"": 14.0, ""H"": 1.0}",713.78,#556B2F,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Derriksite,Cu4(UO2)(Se4+O3)2(OH)6,"{""Cu"": 4.0, ""U"": 1.0, ""O"": 14.0, ""Se"": 2.0, ""H"": 6.0}",880.2,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dervillite,Ag2AsS2,"{""Ag"": 2.0, ""As"": 1.0, ""S"": 2.0}",354.78,#FFD700,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Destinezite,Fe3+2(PO4)(SO4)(OH)·6H2O,"{""Fe"": 2.0, ""P"": 1.0, ""O"": 15.0, ""S"": 1.0, ""H"": 13.0}",427.83,#556B2F,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Deveroite-(Ce),Ce2(C2O4)3·10H2O,"{""Ce"": 2.0, ""C"": 6.0, ""O"": 22.0, ""H"": 20.0}",724.46,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Devilliersite,Ca4Ca2Fe3+10O4[(Fe3+10Si2)O36],"{""Ca"": 6.0, ""Fe"": 20.0, ""O"": 40.0, ""Si"": 2.0}",2053.66,#556B2F,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Devilline,CaCu4(SO4)2(OH)6·3H2O,"{""Ca"": 1.0, ""Cu"": 4.0, ""S"": 2.0, ""O"": 17.0, ""H"": 12.0}",642.5,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Devitoite,Ba6Fe2+7Fe3+2(Si4O12)2(PO4)2(CO3)O2(OH)4,"{""Ba"": 6.0, ""Fe"": 9.0, ""Si"": 8.0, ""O"": 41.0, ""P"": 2.0, ""C"": 1.0, ""H"": 4.0}",2285.33,#556B2F,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Dewindtite,H2Pb3(UO2)6O4(PO4)4·12H2O,"{""H"": 26.0, ""Pb"": 3.0, ""U"": 6.0, ""O"": 44.0, ""P"": 4.0}",2903.87,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Diaboleite,CuPb2Cl2(OH)4,"{""Cu"": 1.0, ""Pb"": 2.0, ""Cl"": 2.0, ""O"": 4.0, ""H"": 4.0}",616.88,#FFFFFF,tetragonal,"{""system"": ""tetragonal"", ""scale"": [1.0, 1.0, 1.4], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Diadochite,Fe3+2(PO4)(SO4)(OH)·6H2O,"{""Fe"": 2.0, ""P"": 1.0, ""O"": 15.0, ""S"": 1.0, ""H"": 13.0}",427.83,#556B2F,,"{""system"": """", ""scale"": [1.0, 1.0, 1.0], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Diamond,C,"{""C"": 1.0}",12.01,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Diaoyudaoite,NaAl11O17,"{""Na"": 1.0, ""Al"": 11.0, ""O"": 17.0}",591.77,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Diaphorite,Ag3Pb2Sb3S8,"{""Ag"": 3.0, ""Pb"": 2.0, ""Sb"": 3.0, ""S"": 8.0}",1359.77,#708090,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Diaspore,AlO(OH),"{""Al"": 1.0, ""O"": 2.0, ""H"": 1.0}",59.99,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dickite,Al2Si2O5(OH)4,"{""Al"": 2.0, ""Si"": 2.0, ""O"": 9.0, ""H"": 4.0}",258.17,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dickthomssenite,MgV2O6·7H2O,"{""Mg"": 1.0, ""V"": 2.0, ""O"": 13.0, ""H"": 14.0}",348.3,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Diegogattaite,Na2CaCu2Si8O20·H2O,"{""Na"": 2.0, ""Ca"": 1.0, ""Cu"": 2.0, ""Si"": 8.0, ""O"": 21.0, ""H"": 2.0}",775.9,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dienerite,Ni3As,"{""Ni"": 3.0, ""As"": 1.0}",250.99,#7FFF00,,"{""system"": """", ""scale"": [1.0, 1.0, 1.0], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Dietzeite,Ca2(IO3)2(CrO4)·H2O,"{""Ca"": 2.0, ""I"": 2.0, ""O"": 11.0, ""Cr"": 1.0, ""H"": 2.0}",563.98,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dimorphite,As4S3,"{""As"": 4.0, ""S"": 3.0}",395.86,#FFD700,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Dinilawiite,[Pb4OAl(OH)6]2(S2O3)2·(S2O3)(H2O)5,"{""Pb"": 8.0, ""O"": 28.0, ""Al"": 2.0, ""H"": 22.0, ""S"": 6.0}",2374.1,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dinite,C20H36,"{""C"": 20.0, ""H"": 36.0}",276.49,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Diopside,CaMgSi2O6,"{""Ca"": 1.0, ""Mg"": 1.0, ""Si"": 2.0, ""O"": 6.0}",216.57,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dioptase,CuSiO3·H2O,"{""Cu"": 1.0, ""Si"": 1.0, ""O"": 4.0, ""H"": 2.0}",157.66,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dioskouriite,CaCu4Cl6(OH)4·4H2O,"{""Ca"": 1.0, ""Cu"": 4.0, ""Cl"": 6.0, ""O"": 8.0, ""H"": 12.0}",647.08,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Direnzoite,NaK6MgCa2(Al13Si47)O120·36H2O,"{""Na"": 1.0, ""K"": 6.0, ""Mg"": 1.0, ""Ca"": 2.0, ""Al"": 13.0, ""Si"": 47.0, ""O"": 156.0, ""H"": 72.0}",4601.61,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dissakisite-(Ce),CaCe(Al2Mg)[Si2O7][SiO4]O(OH),"{""Ca"": 1.0, ""Ce"": 1.0, ""Al"": 2.0, ""Mg"": 1.0, ""Si"": 3.0, ""O"": 13.0, ""H"": 1.0}",551.75,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dissakisite-(La),CaLa(Al2Mg)[Si2O7][SiO4]O(OH),"{""Ca"": 1.0, ""La"": 1.0, ""Al"": 2.0, ""Mg"": 1.0, ""Si"": 3.0, ""O"": 13.0, ""H"": 1.0}",550.54,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dittmarite,(NH4)Mg(PO4)·H2O,"{""N"": 1.0, ""H"": 6.0, ""Mg"": 1.0, ""P"": 1.0, ""O"": 5.0}",155.34,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Djurleite,Cu31S16,"{""Cu"": 31.0, ""S"": 16.0}",2483.01,#A9A9A9,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Dmisokolovite,K3Cu5AlO2(AsO4)4,"{""K"": 3.0, ""Cu"": 5.0, ""Al"": 1.0, ""O"": 18.0, ""As"": 4.0}",1049.71,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dmisteinbergite,Ca(Al2Si2O8),"{""Ca"": 1.0, ""Al"": 2.0, ""Si"": 2.0, ""O"": 8.0}",278.22,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dmitryivanovite,CaAl2O4,"{""Ca"": 1.0, ""Al"": 2.0, ""O"": 4.0}",158.04,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dmitryvarlamovite,Ti2(Fe3+Nb)O8,"{""Ti"": 2.0, ""Fe"": 1.0, ""Nb"": 1.0, ""O"": 8.0}",372.5,#556B2F,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Dobrovolskyite,Na4Ca(SO4)3,"{""Na"": 4.0, ""Ca"": 1.0, ""S"": 3.0, ""O"": 12.0}",420.22,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dobsinaite,Ca2Ca(AsO4)2·2H2O,"{""Ca"": 3.0, ""As"": 2.0, ""O"": 10.0, ""H"": 4.0}",434.11,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dokuchaevite,Cu8O2(VO4)3Cl3,"{""Cu"": 8.0, ""O"": 14.0, ""V"": 3.0, ""Cl"": 3.0}",991.57,#FFFFFF,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dolerophanite,Cu2O(SO4),"{""Cu"": 2.0, ""O"": 5.0, ""S"": 1.0}",239.16,#00BFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Dollaseite-(Ce),CaCe(Mg2Al)[Si2O7][SiO4]F(OH),"{""Ca"": 1.0, ""Ce"": 1.0, ""Mg"": 2.0, ""Al"": 1.0, ""Si"": 3.0, ""O"": 12.0, ""F"": 1.0, ""H"": 1.0}",552.08,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dolomite,CaMg(CO3)2,"{""Ca"": 1.0, ""Mg"": 1.0, ""C"": 2.0, ""O"": 6.0}",184.41,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Doloresite,V4+3O4(OH)4,"{""V"": 3.0, ""O"": 8.0, ""H"": 4.0}",284.85,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Domerockite,Cu4(AsO4)(AsO3OH)(OH)3·H2O,"{""Cu"": 4.0, ""As"": 2.0, ""O"": 12.0, ""H"": 6.0}",602.09,#FFFFFF,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Domeykite,Cu3As,"{""Cu"": 3.0, ""As"": 1.0}",265.57,#00BFFF,cubic,"{""system"": ""cubic"", ""scale"": [1.0, 1.0, 1.0], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Dondoellite,Ca2Fe(PO4)2·2H2O,"{""Ca"": 2.0, ""Fe"": 1.0, ""P"": 2.0, ""O"": 10.0, ""H"": 4.0}",361.98,#556B2F,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Donharrisite,Ni3HgS3,"{""Ni"": 3.0, ""Hg"": 1.0, ""S"": 3.0}",472.84,#A9A9A9,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Donnayite-(Y),NaSr3CaY(CO3)6·3H2O,"{""Na"": 1.0, ""Sr"": 3.0, ""Ca"": 1.0, ""Y"": 1.0, ""C"": 6.0, ""O"": 21.0, ""H"": 6.0}",828.95,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Donowensite,Ca(H2O)3Fe3+2(V2O7)2,"{""Ca"": 1.0, ""H"": 6.0, ""O"": 17.0, ""Fe"": 2.0, ""V"": 4.0}",633.59,#556B2F,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Donwilhelmsite,CaAl4Si2O11,"{""Ca"": 1.0, ""Al"": 4.0, ""Si"": 2.0, ""O"": 11.0}",380.18,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dorallcharite,TlFe3+3(SO4)2(OH)6,"{""Tl"": 1.0, ""Fe"": 3.0, ""S"": 2.0, ""O"": 14.0, ""H"": 6.0}",666.1,#556B2F,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Dorfmanite,Na2(PO3OH)·2H2O,"{""Na"": 2.0, ""P"": 1.0, ""O"": 6.0, ""H"": 5.0}",177.99,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dorrite,Ca4[Mg3Fe3+9]O4[Si3Al8Fe3+O36],"{""Ca"": 4.0, ""Mg"": 3.0, ""Fe"": 10.0, ""O"": 40.0, ""Si"": 3.0, ""Al"": 8.0}",1731.86,#556B2F,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Douglasite,K2Fe2+Cl4·2H2O,"{""K"": 2.0, ""Fe"": 1.0, ""Cl"": 4.0, ""H"": 4.0, ""O"": 2.0}",311.88,#556B2F,,"{""system"": """", ""scale"": [1.0, 1.0, 1.0], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Dovyrenite,Ca6Zr(Si2O7)2(OH)4,"{""Ca"": 6.0, ""Zr"": 1.0, ""Si"": 4.0, ""O"": 18.0, ""H"": 4.0}",736.09,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Downeyite,SeO2,"{""Se"": 1.0, ""O"": 2.0}",110.96,#FFFFFF,tetragonal,"{""system"": ""tetragonal"", ""scale"": [1.0, 1.0, 1.4], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Downsite,K2(MoO3)3(SO4)·4H2O,"{""K"": 2.0, ""Mo"": 3.0, ""O"": 17.0, ""S"": 1.0, ""H"": 8.0}",678.17,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Doyleite,Al(OH)3,"{""Al"": 1.0, ""O"": 3.0, ""H"": 3.0}",78.0,#FFFFFF,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dozyite,Mg7Al2(Si4Al2)O15(OH)12,"{""Mg"": 7.0, ""Al"": 4.0, ""Si"": 4.0, ""O"": 27.0, ""H"": 12.0}",834.55,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dravertite,CuMg(SO4)2,"{""Cu"": 1.0, ""Mg"": 1.0, ""S"": 2.0, ""O"": 8.0}",279.98,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dravite,NaMg3Al6(Si6O18)(BO3)3(OH)3(OH),"{""Na"": 1.0, ""Mg"": 3.0, ""Al"": 6.0, ""Si"": 6.0, ""O"": 31.0, ""B"": 3.0, ""H"": 4.0}",958.8,#FFFFFF,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dresserite,Ba2Al4(CO3)4(OH)8·3H2O,"{""Ba"": 2.0, ""Al"": 4.0, ""C"": 4.0, ""O"": 23.0, ""H"": 14.0}",812.73,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dreyerite,Bi(VO4),"{""Bi"": 1.0, ""V"": 1.0, ""O"": 4.0}",323.92,#D2B48C,tetragonal,"{""system"": ""tetragonal"", ""scale"": [1.0, 1.0, 1.4], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Driekopite,PtBi,"{""Pt"": 1.0, ""Bi"": 1.0}",404.06,#D2B48C,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Dritsite,Li2Al4(OH)12Cl2·3H2O,"{""Li"": 2.0, ""Al"": 4.0, ""O"": 15.0, ""H"": 18.0, ""Cl"": 2.0}",450.84,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Drobecite,Cd(SO4)·4H2O,"{""Cd"": 1.0, ""S"": 1.0, ""O"": 8.0, ""H"": 8.0}",280.53,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Droninoite,Ni6Fe3+2(OH)16Cl2·4H2O,"{""Ni"": 6.0, ""Fe"": 2.0, ""O"": 20.0, ""H"": 24.0, ""Cl"": 2.0}",878.93,#556B2F,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Drugmanite,Pb2Fe3+(PO4)(PO3OH)(OH)2,"{""Pb"": 2.0, ""Fe"": 1.0, ""P"": 2.0, ""O"": 10.0, ""H"": 3.0}",695.21,#556B2F,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Drysdallite,MoSe2,"{""Mo"": 1.0, ""Se"": 2.0}",253.87,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dubinskaite,Ca4Sc2Al4[Be2Si8O30](OH)2,"{""Ca"": 4.0, ""Sc"": 2.0, ""Al"": 4.0, ""Be"": 2.0, ""Si"": 8.0, ""O"": 32.0, ""H"": 2.0}",1114.92,#FFFFFF,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dufrenoysite,Pb2As2S5,"{""Pb"": 2.0, ""As"": 2.0, ""S"": 5.0}",724.54,#708090,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Duftite,PbCu(AsO4)(OH),"{""Pb"": 1.0, ""Cu"": 1.0, ""As"": 1.0, ""O"": 5.0, ""H"": 1.0}",426.68,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dukeite,Bi3+24Cr6+8O57(OH)6·3H2O,"{""Bi"": 24.0, ""Cr"": 8.0, ""O"": 66.0, ""H"": 12.0}",6499.62,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dulanggouite,Bi6Te3,"{""Bi"": 6.0, ""Te"": 3.0}",1636.68,#D2B48C,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Dumontite,Pb2(UO2)3O2(PO4)2·5H2O,"{""Pb"": 2.0, ""U"": 3.0, ""O"": 21.0, ""P"": 2.0, ""H"": 10.0}",1536.51,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dumortierite,AlAl6BSi3O18,"{""Al"": 7.0, ""B"": 1.0, ""Si"": 3.0, ""O"": 18.0}",571.94,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Dundasite,PbAl2(CO3)2(OH)4·H2O,"{""Pb"": 1.0, ""Al"": 2.0, ""C"": 2.0, ""O"": 11.0, ""H"": 6.0}",467.23,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Durangite,NaAl(AsO4)F,"{""Na"": 1.0, ""Al"": 1.0, ""As"": 1.0, ""O"": 4.0, ""F"": 1.0}",207.89,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Duranusite,As4S,"{""As"": 4.0, ""S"": 1.0}",331.74,#FFD700,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Dussertite,BaFe3+3(AsO4)(AsO3OH)(OH)6,"{""Ba"": 1.0, ""Fe"": 3.0, ""As"": 2.0, ""O"": 14.0, ""H"": 7.0}",685.78,#556B2F,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
